name,lower,upper
hip_flexion_r,-50,50
hip_flexion_l,-50,50
hip_adduction_r,-30,30
hip_adduction_l,-30,30
hip_rotation_r,-30,30
hip_rotation_l,-30,30
knee_angle_r,-90,0
knee_angle_l,-90,0
ankle_angle_r,-30,30
ankle_angle_l,-30,30
subtalar_angle_r,-30,30
subtalar_angle_l,-30,30
mtj_angle_r,-30,30
mtj_angle_l,-30,30
mtp_angle_r,-20,50
mtp_angle_l,-20,50
lumbar_extension,-30,30
lumbar_bending,-30,30
lumbar_rotation,-30,30
